bulgarian,english,notes
Кой?,Who?,
Какво?,What?,
Къде?,Where?,
Откъде?,Where from?,
Кога?,When?,
За какво?,For what?,
Защо?,Why?,
За какво?,What for?,
Как?,How?,
Кой?,Which?,
На кого?,To whom?,
За кого?,About whom?,
За какво?,About what?,
С кого?,With whom?,
Колко?,How many? How much?,
Чий?,Whose?,
