bulgarian,english,notes
месо,meat,
риба,fish,
морски продукти,seafood,
салата,salad,
пиле,chicken,
свинско месо,pork meat,
телешко месо,veal,
агнешко месо,lamb,
салам,sausage,
пастет,pâté,
домати,tomatoes,
шопска салата,bulgarian salad,
ябълка,apple,
портокал,orange,
сьомга,salmon,
хляб,bread,
яйце,egg,
ориз,rice,
макарони,pasta,
краве масло,butter,
олио,vegetable oil,
зехтин,olive oil,
мляко,milk,
кисело мляко,yogurt,
мед,honey,
