bulgarian,english,notes
нула,zero,nula
едно,one,edno
две,two,dve
три,three,tri
четири,four,chetiri
пет,five,pet
шест,six,shest
седем,seven,sedem
осем,eight,osem
девет,nine,devet
десет,ten,decet
