bulgarian,english,notes
Кафе,coffee,kafe
Чай,tea,chaj
вода,water,voda
портокалов сок,orange juice,portokalov cok
бира,beer,bira
ракия,rakia,rakiya
водка,vodka,vodka
вино,wine,vino
