bulgarian,english,notes
Куче,Dog,Kuche
Котка,Cat,Kotka
Папагал,Parrot,Papagal
Заек,Rabbit,Zaek
Крава,Cow,Krava
Магаре,Donkey,Magare
Кон,Horse,Kon
Овца,Sheep,Ovtsa
Коза,Goat,Koza
Прасе,Pig,Prase
Кокошка,Hen,Kokoshka
Петел,Rooster,Petel
Патка,Duck,Patka
Гъска,Goose,Gaska
Вълк,Wolf,Valk
Лисица,Fox,Lisitsa
Кафява мечка,Brown bear,Kafyava mechka
Див заек,Wild rabbit,Div zaek
Елен,Deer,Elen
Катерица,Squirrel,Kateritsa
Таралеж,Hedgehog,Taralezh
Глиган,Boar,Gligan
